cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Bladder urothelial carcinoma	151	-0.4105960264900662	-0.18543046357615894	-0.19205298013245034	-0.5364238410596026	-0.32450331125827814	0.039735099337748346	-0.5827814569536424	-0.6622516556291391	0.2052980132450331	-0.6490066225165563	-0.2847682119205298	-0.6026490066225165	-0.033112582781456956	-0.15894039735099338	-0.6490066225165563	0.0728476821192053	-0.4900662251655629	-0.5364238410596026	-0.12582781456953643	-0.5695364238410596	-0.6622516556291391	-0.4900662251655629	-0.31788079470198677	-0.3509933774834437	-0.3509933774834437	-0.39072847682119205	-0.543046357615894	-0.4105960264900662	-0.2913907284768212	-0.6291390728476821	-0.18543046357615894	-0.1456953642384106	-0.5827814569536424	-0.47019867549668876	-0.2052980132450331	-0.09271523178807947	0.10596026490066225	-0.2251655629139073	-0.423841059602649	-0.8410596026490066	-0.8609271523178808
Breast carcinoma	977	-0.5158648925281474	0.44728761514841353	-0.3561924257932446	-0.45138178096212894	-0.510747185261003	-0.1668372569089048	-0.48925281473899696	-0.4657113613101331	-0.037871033776867964	-0.29887410440122825	-0.2128966223132037	-0.4728761514841351	-0.08085977482088025	-0.23132036847492324	-0.6632548618219037	0.38075742067553736	-0.503582395087001	-0.44012282497441146	-0.150460593654043	-0.4503582395087001	-0.4094165813715456	-0.6438075742067554	-0.22722620266120777	-0.24564994882292732	-0.5711361310133061	-0.390992835209826	-0.46059365404298874	0.12487205731832139	-0.661207778915046	-0.7584442169907881	-0.24462640736949848	-0.37154554759467756	-0.4872057318321392	-0.4257932446264074	-0.33572159672466734	-0.14227226202661208	0.11258955987717502	-0.3060388945752303	-0.5404298874104401	-0.406345957011259	-0.436028659160696
Cervical carcinoma	56	-0.17857142857142858	0.19642857142857142	-0.16071428571428573	-0.32142857142857145	-0.6785714285714286	0.30357142857142855	-0.6607142857142857	-0.5714285714285714	0.21428571428571427	-0.4642857142857143	-0.14285714285714285	-0.35714285714285715	-0.21428571428571427	-0.23214285714285715	-0.5	-0.14285714285714285	-0.23214285714285715	-0.26785714285714285	-0.5178571428571429	-0.5	-0.5	-0.44642857142857145	-0.375	-0.35714285714285715	-0.5357142857142857	-0.23214285714285715	-0.3392857142857143	-0.2857142857142857	-0.32142857142857145	-0.5892857142857143	-0.14285714285714285	-0.3392857142857143	-0.4642857142857143	-0.4107142857142857	0.16071428571428573	-0.05357142857142857	0.16071428571428573	-0.23214285714285715	-0.3392857142857143	-0.30357142857142855	-0.375
Cholangiocarcinoma	92	-0.41304347826086957	0.20652173913043478	-0.10869565217391304	-0.13043478260869565	-0.5978260869565217	-0.10869565217391304	-0.391304347826087	-0.532608695652174	-0.010869565217391304	-0.3695652173913043	-0.20652173913043478	-0.6630434782608695	0.09782608695652174	-0.03260869565217391	-0.5869565217391305	0.29347826086956524	-0.6956521739130435	-0.6413043478260869	-0.21739130434782608	-0.32608695652173914	-0.29347826086956524	-0.391304347826087	0.021739130434782608	-0.34782608695652173	-0.4891304347826087	-0.42391304347826086	-0.2826086956521739	-0.25	-0.3695652173913043	-0.6195652173913043	0.021739130434782608	-0.14130434782608695	-0.5	-0.34782608695652173	-0.07608695652173914	-0.18478260869565216	0.07608695652173914	-0.391304347826087	-0.32608695652173914	-0.6086956521739131	-0.6739130434782609
Colorectal carcinoma	672	-0.6160714285714286	-0.25595238095238093	-0.31101190476190477	-0.33779761904761907	-0.5148809523809523	-0.3586309523809524	-0.6622023809523809	-0.6383928571428571	-0.19345238095238096	-0.5148809523809523	-0.17261904761904762	-0.3169642857142857	0.2767857142857143	0.049107142857142856	-0.7247023809523809	0.25148809523809523	-0.3244047619047619	-0.34523809523809523	-0.32589285714285715	-0.49404761904761907	-0.33630952380952384	-0.3943452380952381	-0.31547619047619047	-0.42857142857142855	0.31101190476190477	-0.5342261904761905	-0.5625	-0.2663690476190476	-0.35267857142857145	-0.7678571428571429	-0.41517857142857145	-0.6324404761904762	-0.8139880952380952	-0.44642857142857145	-0.37797619047619047	0.020833333333333332	0.5892857142857143	-0.5550595238095238	-0.5892857142857143	-0.6101190476190477	-0.5744047619047619
Diffuse large B-cell lymphoma	124	-0.13709677419354838	0.18548387096774194	-0.008064516129032258	-0.016129032258064516	0.03225806451612903	0.07258064516129033	-0.11290322580645161	-0.14516129032258066	0.08870967741935484	0.04032258064516129	0.056451612903225805	-0.21774193548387097	0.13709677419354838	0.16129032258064516	0.016129032258064516	0.07258064516129033	0.008064516129032258	0.024193548387096774	-0.04032258064516129	-0.08064516129032258	0.056451612903225805	0.06451612903225806	0.07258064516129033	0.07258064516129033	-0.07258064516129033	-0.016129032258064516	-0.07258064516129033	-0.04032258064516129	-0.08064516129032258	-0.1774193548387097	0.0	0.13709677419354838	0.1693548387096774	-0.06451612903225806	-0.008064516129032258	0.008064516129032258	-0.008064516129032258	0.07258064516129033	-0.0967741935483871	-0.5564516129032258	-0.4838709677419355
Esophageal carcinoma	225	-0.5866666666666667	-0.26222222222222225	-0.4088888888888889	-0.39555555555555555	-0.6622222222222223	-0.26222222222222225	-0.6933333333333334	-0.8044444444444444	-0.26666666666666666	-0.7377777777777778	-0.4177777777777778	-0.5066666666666667	0.04888888888888889	-0.4177777777777778	-0.5822222222222222	0.05333333333333334	-0.7377777777777778	-0.6088888888888889	-0.4177777777777778	-0.56	-0.48	-0.48444444444444446	-0.39555555555555555	-0.5244444444444445	-0.3111111111111111	-0.5911111111111111	-0.5688888888888889	-0.44	-0.5288888888888889	-0.72	-0.36444444444444446	-0.4	-0.8133333333333334	-0.68	-0.4088888888888889	-0.09777777777777778	0.25333333333333335	-0.7422222222222222	-0.6222222222222222	-0.9511111111111111	-0.9244444444444444
Glioblastoma multiforme	103	0.038834951456310676	0.06796116504854369	0.019417475728155338	-0.019417475728155338	-0.04854368932038835	0.0	-0.019417475728155338	-0.05825242718446602	0.038834951456310676	0.009708737864077669	-0.038834951456310676	-0.18446601941747573	0.7184466019417476	0.7961165048543689	-0.009708737864077669	0.02912621359223301	-0.3883495145631068	-0.019417475728155338	-0.7864077669902912	-0.8640776699029126	-0.10679611650485436	-0.05825242718446602	0.0	-0.038834951456310676	-0.24271844660194175	-0.17475728155339806	-0.11650485436893204	-0.019417475728155338	-0.06796116504854369	-0.06796116504854369	0.009708737864077669	-0.10679611650485436	-0.05825242718446602	0.3786407766990291	0.18446601941747573	0.22330097087378642	0.2524271844660194	0.0	-0.22330097087378642	-0.6310679611650486	-0.6213592233009708
Hepatocellular carcinoma	340	-0.24705882352941178	0.5911764705882353	-0.06470588235294118	-0.06470588235294118	-0.1323529411764706	-0.05588235294117647	-0.16176470588235295	-0.4176470588235294	0.15588235294117647	0.09705882352941177	0.25588235294117645	-0.27647058823529413	0.17647058823529413	0.17647058823529413	-0.6264705882352941	0.47058823529411764	-0.26176470588235295	-0.2529411764705882	0.011764705882352941	-0.21176470588235294	-0.1323529411764706	-0.18529411764705883	-0.24705882352941178	-0.09411764705882353	-0.3029411764705882	-0.2735294117647059	-0.12352941176470589	-0.28823529411764703	-0.38823529411764707	-0.5911764705882353	0.1264705882352941	-0.13529411764705881	-0.25	-0.27647058823529413	-0.029411764705882353	0.1264705882352941	0.19705882352941176	-0.3029411764705882	-0.1676470588235294	-0.75	-0.6617647058823529
Kidney renal clear cell carcinoma	219	-0.2009132420091324	0.0319634703196347	-0.0136986301369863	-0.0410958904109589	-0.9041095890410958	0.0365296803652968	-0.2602739726027397	-0.273972602739726	0.1461187214611872	0.3972602739726027	-0.2328767123287671	-0.3059360730593607	0.228310502283105	0.2420091324200913	-0.4200913242009132	-0.0136986301369863	-0.3972602739726027	-0.3835616438356164	-0.1324200913242009	-0.2420091324200913	-0.1187214611872146	-0.1643835616438356	0.045662100456621	0.0684931506849315	-0.2191780821917808	-0.5068493150684932	-0.1643835616438356	0.0684931506849315	-0.0045662100456621	-0.2602739726027397	-0.0502283105022831	-0.2420091324200913	-0.2968036529680365	-0.1461187214611872	-0.1050228310502283	0.0867579908675799	0.1643835616438356	-0.1461187214611872	-0.1689497716894977	-0.7031963470319634	-0.7077625570776256
