cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Bladder urothelial carcinoma	128	-0.40625	-0.1640625	-0.203125	-0.5390625	-0.34375	0.03125	-0.5859375	-0.6640625	0.2421875	-0.6640625	-0.2734375	-0.6015625	-0.015625	-0.1328125	-0.65625	0.0859375	-0.484375	-0.5078125	-0.125	-0.59375	-0.6640625	-0.4921875	-0.3125	-0.3828125	-0.3515625	-0.3515625	-0.546875	-0.421875	-0.3125	-0.609375	-0.1875	-0.125	-0.6015625	-0.4765625	-0.2109375	-0.0703125	0.125	-0.21875	-0.453125	-0.84375	-0.8671875
Breast carcinoma	776	-0.5360824742268041	0.4484536082474227	-0.36597938144329895	-0.46005154639175255	-0.5244845360824743	-0.16752577319587628	-0.4742268041237113	-0.46005154639175255	-0.027061855670103094	-0.26417525773195877	-0.21391752577319587	-0.4806701030927835	-0.061855670103092786	-0.23324742268041238	-0.6739690721649485	0.37628865979381443	-0.5257731958762887	-0.4420103092783505	-0.1713917525773196	-0.45489690721649484	-0.41237113402061853	-0.6675257731958762	-0.23195876288659795	-0.211340206185567	-0.5747422680412371	-0.3853092783505155	-0.45103092783505155	0.16752577319587628	-0.6520618556701031	-0.7641752577319587	-0.23840206185567012	-0.38917525773195877	-0.5270618556701031	-0.4420103092783505	-0.3402061855670103	-0.13917525773195877	0.14432989690721648	-0.31443298969072164	-0.5592783505154639	-0.40335051546391754	-0.4329896907216495
Cervical carcinoma	38	-0.23684210526315788	0.13157894736842105	-0.23684210526315788	-0.34210526315789475	-0.7105263157894737	0.34210526315789475	-0.631578947368421	-0.5526315789473685	0.21052631578947367	-0.47368421052631576	-0.23684210526315788	-0.3684210526315789	-0.23684210526315788	-0.15789473684210525	-0.4473684210526316	-0.10526315789473684	-0.2631578947368421	-0.2894736842105263	-0.5	-0.5	-0.5	-0.5	-0.3157894736842105	-0.3684210526315789	-0.6052631578947368	-0.23684210526315788	-0.34210526315789475	-0.3157894736842105	-0.3157894736842105	-0.5526315789473685	-0.13157894736842105	-0.34210526315789475	-0.4473684210526316	-0.4473684210526316	0.07894736842105263	-0.13157894736842105	0.23684210526315788	-0.21052631578947367	-0.34210526315789475	-0.3684210526315789	-0.3684210526315789
Cholangiocarcinoma	66	-0.4090909090909091	0.21212121212121213	-0.12121212121212122	-0.13636363636363635	-0.6363636363636364	-0.10606060606060606	-0.4090909090909091	-0.5454545454545454	-0.015151515151515152	-0.36363636363636365	-0.24242424242424243	-0.7272727272727273	0.09090909090909091	-0.030303030303030304	-0.5454545454545454	0.3484848484848485	-0.6818181818181818	-0.6666666666666666	-0.2878787878787879	-0.3787878787878788	-0.3181818181818182	-0.4090909090909091	0.0	-0.3484848484848485	-0.4696969696969697	-0.3787878787878788	-0.2727272727272727	-0.2727272727272727	-0.36363636363636365	-0.6212121212121212	-0.015151515151515152	-0.12121212121212122	-0.5454545454545454	-0.3181818181818182	-0.07575757575757576	-0.21212121212121213	0.045454545454545456	-0.4393939393939394	-0.3939393939393939	-0.6515151515151515	-0.7272727272727273
Colorectal carcinoma	621	-0.6312399355877617	-0.2721417069243156	-0.32689210950080516	-0.355877616747182	-0.5281803542673108	-0.3639291465378422	-0.679549114331723	-0.6553945249597424	-0.1932367149758454	-0.533011272141707	-0.16747181964573268	-0.3172302737520129	0.2753623188405797	0.04669887278582931	-0.7552334943639292	0.2576489533011272	-0.3365539452495974	-0.3526570048309179	-0.33011272141706927	-0.5040257648953301	-0.33816425120772947	-0.3993558776167472	-0.3188405797101449	-0.44122383252818037	0.29790660225442833	-0.5410628019323671	-0.5668276972624798	-0.27375201288244766	-0.3639291465378422	-0.7809983896940419	-0.42995169082125606	-0.6328502415458938	-0.822866344605475	-0.4669887278582931	-0.394524959742351	0.00966183574879227	0.5861513687600645	-0.5684380032206119	-0.6006441223832528	-0.6215780998389694	-0.5893719806763285
Diffuse large B-cell lymphoma	20	-0.2	0.3	-0.05	-0.1	0.25	0.25	-0.1	-0.2	0.35	0.15	0.2	-0.35	0.25	0.25	0.0	0.0	0.05	0.15	-0.1	-0.05	0.2	0.3	0.05	0.1	0.05	0.0	-0.15	0.0	-0.05	-0.15	0.05	0.15	0.2	-0.1	0.05	0.0	0.0	0.2	-0.2	-0.5	-0.45
Esophageal carcinoma	140	-0.6714285714285714	-0.32857142857142857	-0.4357142857142857	-0.42857142857142855	-0.7714285714285715	-0.2642857142857143	-0.7571428571428571	-0.8428571428571429	-0.2857142857142857	-0.7714285714285715	-0.4785714285714286	-0.5571428571428572	-0.03571428571428571	-0.5071428571428571	-0.6714285714285714	-0.014285714285714285	-0.8	-0.7	-0.45	-0.6785714285714286	-0.5785714285714286	-0.5642857142857143	-0.44285714285714284	-0.5428571428571428	-0.40714285714285714	-0.6357142857142857	-0.6071428571428571	-0.4785714285714286	-0.5214285714285715	-0.7357142857142858	-0.38571428571428573	-0.40714285714285714	-0.8357142857142857	-0.7714285714285715	-0.4857142857142857	-0.21428571428571427	0.17142857142857143	-0.7571428571428571	-0.6428571428571429	-0.95	-0.9214285714285714
Glioblastoma multiforme	64	0.078125	0.125	0.0	-0.03125	-0.03125	0.03125	0.015625	-0.03125	0.0625	0.046875	-0.015625	-0.140625	0.71875	0.796875	0.046875	0.0625	-0.328125	0.03125	-0.734375	-0.8125	-0.109375	-0.078125	0.03125	-0.0625	-0.296875	-0.15625	-0.125	0.0	-0.03125	-0.0625	0.03125	-0.09375	-0.046875	0.34375	0.171875	0.1875	0.25	0.015625	-0.203125	-0.609375	-0.609375
Hepatocellular carcinoma	52	-0.36538461538461536	0.5769230769230769	-0.1346153846153846	-0.09615384615384616	-0.3269230769230769	-0.15384615384615385	-0.2692307692307692	-0.38461538461538464	0.019230769230769232	-0.019230769230769232	0.19230769230769232	-0.34615384615384615	0.19230769230769232	0.17307692307692307	-0.7115384615384616	0.40384615384615385	-0.17307692307692307	-0.15384615384615385	-0.038461538461538464	-0.28846153846153844	-0.21153846153846154	-0.34615384615384615	-0.23076923076923078	-0.07692307692307693	-0.38461538461538464	-0.28846153846153844	-0.23076923076923078	-0.25	-0.28846153846153844	-0.5961538461538461	0.11538461538461539	-0.17307692307692307	-0.28846153846153844	-0.38461538461538464	-0.11538461538461539	0.09615384615384616	0.25	-0.40384615384615385	-0.19230769230769232	-0.7307692307692307	-0.5769230769230769
Kidney renal clear cell carcinoma	110	-0.3	0.09090909090909091	-0.045454545454545456	-0.09090909090909091	-0.8818181818181818	0.1	-0.4	-0.41818181818181815	0.15454545454545454	0.35454545454545455	-0.3090909090909091	-0.36363636363636365	0.2727272727272727	0.32727272727272727	-0.4909090909090909	0.06363636363636363	-0.5909090909090909	-0.5363636363636364	-0.15454545454545454	-0.2909090909090909	-0.19090909090909092	-0.2636363636363636	0.03636363636363636	0.07272727272727272	-0.32727272727272727	-0.6727272727272727	-0.2636363636363636	0.11818181818181818	-0.02727272727272727	-0.4	-0.01818181818181818	-0.37272727272727274	-0.44545454545454544	-0.2	-0.13636363636363635	0.13636363636363635	0.24545454545454545	-0.2	-0.24545454545454545	-0.7909090909090909	-0.7909090909090909
