cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Bladder urothelial carcinoma	23	-0.43478260869565216	-0.30434782608695654	-0.13043478260869565	-0.5217391304347826	-0.21739130434782608	0.08695652173913043	-0.5652173913043478	-0.6521739130434783	0.0	-0.5652173913043478	-0.34782608695652173	-0.6086956521739131	-0.13043478260869565	-0.30434782608695654	-0.6086956521739131	0.0	-0.5217391304347826	-0.6956521739130435	-0.13043478260869565	-0.43478260869565216	-0.6521739130434783	-0.4782608695652174	-0.34782608695652173	-0.17391304347826086	-0.34782608695652173	-0.6086956521739131	-0.5217391304347826	-0.34782608695652173	-0.17391304347826086	-0.7391304347826086	-0.17391304347826086	-0.2608695652173913	-0.4782608695652174	-0.43478260869565216	-0.17391304347826086	-0.21739130434782608	0.0	-0.2608695652173913	-0.2608695652173913	-0.8260869565217391	-0.8260869565217391
Breast carcinoma	201	-0.43781094527363185	0.4427860696517413	-0.31840796019900497	-0.417910447761194	-0.4577114427860697	-0.16417910447761194	-0.5472636815920398	-0.48756218905472637	-0.07960199004975124	-0.43283582089552236	-0.208955223880597	-0.4427860696517413	-0.15422885572139303	-0.22388059701492538	-0.6218905472636815	0.39800995024875624	-0.417910447761194	-0.43283582089552236	-0.06965174129353234	-0.43283582089552236	-0.39800995024875624	-0.5522388059701493	-0.208955223880597	-0.3781094527363184	-0.5572139303482587	-0.4129353233830846	-0.4975124378109453	-0.03980099502487562	-0.6965174129353234	-0.736318407960199	-0.26865671641791045	-0.3034825870646766	-0.3333333333333333	-0.36318407960199006	-0.31840796019900497	-0.15422885572139303	-0.009950248756218905	-0.2736318407960199	-0.46766169154228854	-0.417910447761194	-0.44776119402985076
Cervical carcinoma	18	-0.05555555555555555	0.3333333333333333	0.0	-0.2777777777777778	-0.6111111111111112	0.2222222222222222	-0.7222222222222222	-0.6111111111111112	0.2222222222222222	-0.4444444444444444	0.05555555555555555	-0.3333333333333333	-0.16666666666666666	-0.3888888888888889	-0.6111111111111112	-0.2222222222222222	-0.16666666666666666	-0.2222222222222222	-0.5555555555555556	-0.5	-0.5	-0.3333333333333333	-0.5	-0.3333333333333333	-0.3888888888888889	-0.2222222222222222	-0.3333333333333333	-0.2222222222222222	-0.3333333333333333	-0.6666666666666666	-0.16666666666666666	-0.3333333333333333	-0.5	-0.3333333333333333	0.3333333333333333	0.1111111111111111	0.0	-0.2777777777777778	-0.3333333333333333	-0.16666666666666666	-0.3888888888888889
Cholangiocarcinoma	26	-0.4230769230769231	0.19230769230769232	-0.07692307692307693	-0.11538461538461539	-0.5	-0.11538461538461539	-0.34615384615384615	-0.5	0.0	-0.38461538461538464	-0.11538461538461539	-0.5	0.11538461538461539	-0.038461538461538464	-0.6923076923076923	0.15384615384615385	-0.7307692307692307	-0.5769230769230769	-0.038461538461538464	-0.19230769230769232	-0.23076923076923078	-0.34615384615384615	0.07692307692307693	-0.34615384615384615	-0.5384615384615384	-0.5384615384615384	-0.3076923076923077	-0.19230769230769232	-0.38461538461538464	-0.6153846153846154	0.11538461538461539	-0.19230769230769232	-0.38461538461538464	-0.4230769230769231	-0.07692307692307693	-0.11538461538461539	0.15384615384615385	-0.2692307692307692	-0.15384615384615385	-0.5	-0.5384615384615384
Colorectal carcinoma	51	-0.43137254901960786	-0.058823529411764705	-0.11764705882352941	-0.11764705882352941	-0.35294117647058826	-0.29411764705882354	-0.45098039215686275	-0.43137254901960786	-0.19607843137254902	-0.29411764705882354	-0.23529411764705882	-0.3137254901960784	0.29411764705882354	0.0784313725490196	-0.35294117647058826	0.17647058823529413	-0.17647058823529413	-0.2549019607843137	-0.27450980392156865	-0.37254901960784315	-0.3137254901960784	-0.3333333333333333	-0.27450980392156865	-0.27450980392156865	0.47058823529411764	-0.45098039215686275	-0.5098039215686274	-0.17647058823529413	-0.21568627450980393	-0.6078431372549019	-0.23529411764705882	-0.6274509803921569	-0.7058823529411765	-0.19607843137254902	-0.17647058823529413	0.1568627450980392	0.6274509803921569	-0.39215686274509803	-0.45098039215686275	-0.47058823529411764	-0.39215686274509803
Diffuse large B-cell lymphoma	104	-0.125	0.16346153846153846	0.0	0.0	-0.009615384615384616	0.038461538461538464	-0.11538461538461539	-0.1346153846153846	0.038461538461538464	0.019230769230769232	0.028846153846153848	-0.19230769230769232	0.11538461538461539	0.14423076923076922	0.019230769230769232	0.08653846153846154	0.0	0.0	-0.028846153846153848	-0.08653846153846154	0.028846153846153848	0.019230769230769232	0.07692307692307693	0.0673076923076923	-0.09615384615384616	-0.019230769230769232	-0.057692307692307696	-0.04807692307692308	-0.08653846153846154	-0.18269230769230768	-0.009615384615384616	0.1346153846153846	0.16346153846153846	-0.057692307692307696	-0.019230769230769232	0.009615384615384616	-0.009615384615384616	0.04807692307692308	-0.07692307692307693	-0.5673076923076923	-0.49038461538461536
Esophageal carcinoma	85	-0.4470588235294118	-0.15294117647058825	-0.36470588235294116	-0.3411764705882353	-0.4823529411764706	-0.25882352941176473	-0.5882352941176471	-0.7411764705882353	-0.23529411764705882	-0.6823529411764706	-0.3176470588235294	-0.4235294117647059	0.18823529411764706	-0.27058823529411763	-0.43529411764705883	0.16470588235294117	-0.6352941176470588	-0.4588235294117647	-0.36470588235294116	-0.36470588235294116	-0.3176470588235294	-0.35294117647058826	-0.3176470588235294	-0.49411764705882355	-0.15294117647058825	-0.5176470588235295	-0.5058823529411764	-0.3764705882352941	-0.5411764705882353	-0.6941176470588235	-0.32941176470588235	-0.38823529411764707	-0.7764705882352941	-0.5294117647058824	-0.2823529411764706	0.09411764705882353	0.38823529411764707	-0.7176470588235294	-0.5882352941176471	-0.9529411764705882	-0.9294117647058824
Glioblastoma multiforme	39	-0.02564102564102564	-0.02564102564102564	0.05128205128205128	0.0	-0.07692307692307693	-0.05128205128205128	-0.07692307692307693	-0.10256410256410256	0.0	-0.05128205128205128	-0.07692307692307693	-0.2564102564102564	0.717948717948718	0.7948717948717948	-0.10256410256410256	-0.02564102564102564	-0.48717948717948717	-0.10256410256410256	-0.8717948717948718	-0.9487179487179487	-0.10256410256410256	-0.02564102564102564	-0.05128205128205128	0.0	-0.15384615384615385	-0.20512820512820512	-0.10256410256410256	-0.05128205128205128	-0.1282051282051282	-0.07692307692307693	-0.02564102564102564	-0.1282051282051282	-0.07692307692307693	0.4358974358974359	0.20512820512820512	0.28205128205128205	0.2564102564102564	-0.02564102564102564	-0.2564102564102564	-0.6666666666666666	-0.6410256410256411
Hepatocellular carcinoma	288	-0.22569444444444445	0.59375	-0.052083333333333336	-0.059027777777777776	-0.09722222222222222	-0.03819444444444445	-0.1423611111111111	-0.4236111111111111	0.18055555555555555	0.11805555555555555	0.2673611111111111	-0.2638888888888889	0.1736111111111111	0.17708333333333334	-0.6111111111111112	0.4826388888888889	-0.2777777777777778	-0.2708333333333333	0.020833333333333332	-0.19791666666666666	-0.11805555555555555	-0.15625	-0.25	-0.09722222222222222	-0.2881944444444444	-0.2708333333333333	-0.10416666666666667	-0.2951388888888889	-0.40625	-0.5902777777777778	0.1284722222222222	-0.1284722222222222	-0.24305555555555555	-0.2569444444444444	-0.013888888888888888	0.13194444444444445	0.1875	-0.2847222222222222	-0.16319444444444445	-0.7534722222222222	-0.6770833333333334
Kidney renal clear cell carcinoma	109	-0.10091743119266056	-0.027522935779816515	0.01834862385321101	0.009174311926605505	-0.926605504587156	-0.027522935779816515	-0.11926605504587157	-0.12844036697247707	0.13761467889908258	0.44036697247706424	-0.1559633027522936	-0.24770642201834864	0.1834862385321101	0.1559633027522936	-0.3486238532110092	-0.09174311926605505	-0.2018348623853211	-0.22935779816513763	-0.11009174311926606	-0.1926605504587156	-0.045871559633027525	-0.06422018348623854	0.05504587155963303	0.06422018348623854	-0.11009174311926606	-0.3394495412844037	-0.06422018348623854	0.01834862385321101	0.01834862385321101	-0.11926605504587157	-0.08256880733944955	-0.11009174311926606	-0.14678899082568808	-0.09174311926605505	-0.07339449541284404	0.03669724770642202	0.08256880733944955	-0.09174311926605505	-0.09174311926605505	-0.6146788990825688	-0.6238532110091743
